Rainfall,Temperature,Humidity,Wind_Speed,Water_Level,Flood_Risk
112,39,91,28,1,0
189,31,55,14,2,0
102,26,52,20,1,0
24,21,89,19,5,0
116,22,99,26,10,0
81,36,81,15,9,0
198,24,69,16,6,0
30,36,58,21,1,0
112,36,56,5,1,0
131,36,95,3,2,0
84,21,58,12,9,0
97,21,67,25,3,0
126,24,97,20,1,0
109,20,94,27,5,0
113,20,65,21,7,0
161,38,76,4,6,0
140,21,65,21,1,0
159,40,92,23,5,0
62,31,62,16,5,0
11,25,48,25,6,0
97,23,51,7,3,0
167,30,92,13,5,0
47,36,40,21,7,0
139,25,97,10,5,0
197,24,97,26,5,0
30,39,40,7,5,0
170,21,86,14,10,1
67,25,73,26,10,0
31,30,71,5,3,0
98,35,93,3,1,0
58,35,87,23,5,0
68,20,64,29,9,0
179,28,79,11,1,0
197,25,84,11,3,0
24,35,92,18,4,0
199,22,40,15,1,0
199,39,55,12,1,0
184,23,100,9,8,1
199,38,78,10,2,0
60,22,44,26,8,0
117,38,61,12,7,0
64,39,68,17,10,0
73,26,94,29,10,0
140,39,42,6,2,0
60,28,51,7,6,0
144,20,65,14,6,0
30,27,55,13,3,0
82,26,90,8,2,0
176,37,76,10,1,0
27,27,61,9,6,0
141,20,96,18,5,0
98,30,68,27,9,0
69,37,53,26,1,0
23,29,67,2,7,0
18,22,44,5,5,0
99,26,86,29,5,0
62,35,88,5,2,0
139,35,69,6,3,0
93,39,85,19,7,0
101,36,91,8,6,0
120,21,44,16,2,0
197,20,51,13,6,0
181,35,55,1,2,0
17,31,65,22,2,0
184,24,65,20,2,0
44,24,87,17,3,0
90,28,60,7,2,0
173,28,78,25,4,0
59,22,75,13,9,0
113,38,72,4,6,0
141,35,69,4,1,0
11,35,76,6,8,0
143,22,62,28,7,0
63,39,97,19,10,0
115,20,49,29,3,0
13,39,93,12,1,0
63,30,44,22,5,0
200,36,75,7,4,0
155,27,73,27,10,0
53,23,91,10,8,0
171,25,70,26,1,0
199,27,49,19,10,0
23,39,97,7,1,0
104,22,58,30,4,0
57,35,97,3,8,0
24,22,71,13,5,0
199,37,40,13,2,0
49,33,95,18,6,0
91,37,44,28,5,0
120,21,84,30,2,0
62,22,43,26,3,0
33,35,55,20,9,0
163,28,63,28,7,0
197,23,55,8,7,0
133,20,94,29,6,0
50,23,41,9,8,0
166,20,88,7,4,0
24,33,67,1,8,0
54,40,71,3,4,0
74,35,66,13,8,0
98,39,59,28,9,0
80,27,63,30,3,0
18,26,51,25,3,0
97,22,89,28,2,0
138,36,74,17,10,0
145,20,99,25,3,0
72,35,72,24,3,0
148,31,72,1,5,0
90,38,100,6,5,0
145,33,90,21,2,0
172,25,82,6,10,1
172,25,76,26,6,0
42,32,51,12,5,0
132,38,42,13,6,0
14,27,40,13,1,0
50,21,72,29,5,0
37,40,79,15,9,0
144,20,49,21,10,0
81,34,82,16,2,0
21,20,83,22,1,0
171,24,68,21,10,0
42,35,52,11,9,0
57,38,51,28,10,0
160,23,70,5,9,0
71,22,85,4,9,0
46,36,41,3,6,0
108,36,100,19,8,0
181,31,90,20,1,0
113,33,89,25,10,0
44,40,74,18,4,0
110,25,62,15,1,0
184,22,56,9,8,0
140,28,65,17,1,0
10,24,47,14,3,0
14,36,68,15,4,0
151,33,65,1,8,0
112,40,49,21,6,0
36,22,65,22,10,0
146,20,73,22,7,0
24,39,90,3,8,0
99,40,80,16,2,0
51,20,46,23,10,0
133,22,43,25,8,0
188,37,97,11,3,0
72,29,92,12,7,0
105,22,89,10,3,0
61,27,84,16,7,0
105,33,50,8,2,0
141,37,68,6,10,0
160,34,95,12,6,0
152,21,75,24,3,0
180,29,64,28,3,0
38,21,60,21,9,0
45,36,100,8,7,0
22,27,96,26,5,0
169,20,75,28,10,0
80,28,49,4,7,0
196,30,76,26,9,1
95,35,48,8,1,0
37,26,63,26,7,0
75,29,74,28,6,0
179,22,88,18,10,1
54,37,74,28,9,0
71,32,87,28,1,0
194,26,75,5,4,0
143,23,57,9,9,0
37,32,88,4,4,0
37,39,78,27,10,0
117,20,71,22,3,0
53,27,63,17,9,0
93,33,62,9,2,0
39,35,71,1,4,0
199,33,76,21,6,0
84,31,51,20,2,0
137,38,88,13,8,1
101,34,94,28,8,0
199,21,52,16,1,0
138,21,62,29,3,0
130,38,64,13,10,0
36,36,74,14,9,0
199,39,80,3,5,0
130,29,69,29,6,0
125,25,56,6,4,0
12,34,88,18,10,0
112,30,59,19,2,0
164,24,87,5,8,1
146,20,64,15,6,0
71,27,61,25,5,0
174,40,52,2,9,0
60,31,98,10,1,0
181,31,58,24,5,0
161,24,88,30,6,0
68,26,75,18,5,0
127,23,51,27,6,0
169,25,100,13,6,0
105,32,80,5,7,0
189,39,58,23,4,0
122,34,51,24,8,0
71,22,48,1,7,0
195,27,46,22,9,0
