temperature,humidity,rainfall,pressure,wind_speed,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,hour,day_of_week,month,latitude,longitude,rainfall_next_1h
29.1,74,0.1,954.9,5.2,0.1,0.2,1.8,1.9,23,2,7,26.9124,75.7873,4.6
26.5,93,4.6,954.8,7.4,4.7,4.7,6.2,6.5,0,3,7,26.9124,75.7873,1.5
25.5,94,1.5,954.0,11.1,6.2,6.2,7.6,8.0,1,3,7,26.9124,75.7873,1.4
25.4,94,1.4,953.7,7.4,7.5,7.6,8.9,9.4,2,3,7,26.9124,75.7873,1.9
24.9,96,1.9,954.0,6.3,4.8,9.5,10.0,11.3,3,3,7,26.9124,75.7873,1.7
24.4,96,1.7,953.6,9.5,5.0,11.2,11.4,13.0,4,3,7,26.9124,75.7873,0.9
26.3,86,0.9,953.4,2.2,4.5,12.0,12.2,13.9,5,3,7,26.9124,75.7873,0.4
26.4,87,0.4,953.7,1.4,3.0,7.8,12.5,14.3,6,3,7,26.9124,75.7873,0.1
26.7,86,0.1,954.2,3.7,1.4,6.4,12.6,14.4,7,3,7,26.9124,75.7873,0.0
27.4,80,0.0,954.7,3.0,0.5,5.0,12.6,14.4,8,3,7,26.9124,75.7873,0.0
29.1,71,0.0,955.3,2.8,0.1,3.1,12.6,14.4,9,3,7,26.9124,75.7873,0.0
29.3,71,0.0,955.7,3.6,0.0,1.4,12.6,14.4,10,3,7,26.9124,75.7873,0.2
31.6,61,0.2,955.8,4.1,0.2,0.7,12.7,14.5,11,3,7,26.9124,75.7873,0.1
32.4,60,0.1,955.4,3.9,0.3,0.4,8.2,14.4,12,3,7,26.9124,75.7873,0.0
31.7,61,0.0,954.6,3.6,0.3,0.3,6.7,14.3,13,3,7,26.9124,75.7873,0.0
33.1,57,0.0,953.5,2.6,0.1,0.3,5.3,14.2,14,3,7,26.9124,75.7873,0.0
33.6,56,0.0,952.8,2.9,0.0,0.3,3.4,13.4,15,3,7,26.9124,75.7873,0.0
33.8,55,0.0,952.2,2.8,0.0,0.3,1.7,13.1,16,3,7,26.9124,75.7873,0.2
33.0,59,0.2,952.0,6.5,0.2,0.3,1.0,13.2,17,3,7,26.9124,75.7873,0.0
32.4,62,0.0,952.0,4.7,0.2,0.2,0.6,13.1,18,3,7,26.9124,75.7873,0.0
31.2,71,0.0,952.4,5.9,0.2,0.2,0.5,13.1,19,3,7,26.9124,75.7873,0.0
30.5,73,0.0,952.9,6.6,0.0,0.2,0.5,13.1,20,3,7,26.9124,75.7873,0.0
30.0,75,0.0,953.7,7.9,0.0,0.2,0.5,13.1,21,3,7,26.9124,75.7873,0.0
29.5,76,0.0,954.3,8.9,0.0,0.2,0.5,13.1,22,3,7,26.9124,75.7873,4.8
26.5,89,4.8,955.9,20.4,4.8,4.8,5.1,17.8,23,3,7,26.9124,75.7873,2.5
25.4,96,2.5,954.9,2.4,7.3,7.3,7.5,15.7,0,4,7,26.9124,75.7873,1.6
25.6,96,1.6,954.2,3.6,8.9,8.9,9.1,15.8,1,4,7,26.9124,75.7873,0.5
25.6,97,0.5,953.9,4.1,4.6,9.4,9.6,14.9,2,4,7,26.9124,75.7873,0.0
25.6,96,0.0,953.4,4.2,2.1,9.4,9.6,13.0,3,4,7,26.9124,75.7873,0.0
25.6,97,0.0,953.2,7.6,0.5,9.4,9.6,11.3,4,4,7,26.9124,75.7873,0.0
26.0,95,0.0,954.0,8.0,0.0,4.6,9.4,10.4,5,4,7,26.9124,75.7873,0.0
26.0,89,0.0,954.2,7.9,0.0,2.1,9.4,10.0,6,4,7,26.9124,75.7873,0.0
26.4,86,0.0,954.7,6.7,0.0,0.5,9.4,9.9,7,4,7,26.9124,75.7873,0.0
28.3,78,0.0,955.0,9.1,0.0,0.0,9.4,9.9,8,4,7,26.9124,75.7873,0.0
29.9,70,0.0,955.3,11.3,0.0,0.0,9.4,9.9,9,4,7,26.9124,75.7873,0.0
31.0,64,0.0,955.3,11.3,0.0,0.0,9.4,9.9,10,4,7,26.9124,75.7873,0.0
32.0,62,0.0,955.2,5.2,0.0,0.0,4.6,9.7,11,4,7,26.9124,75.7873,0.0
32.5,60,0.0,954.7,3.2,0.0,0.0,2.1,9.6,12,4,7,26.9124,75.7873,0.0
33.1,57,0.0,954.1,2.7,0.0,0.0,0.5,9.6,13,4,7,26.9124,75.7873,0.0
33.2,56,0.0,953.1,4.6,0.0,0.0,0.0,9.6,14,4,7,26.9124,75.7873,0.0
33.4,56,0.0,952.6,5.7,0.0,0.0,0.0,9.6,15,4,7,26.9124,75.7873,0.0
33.3,57,0.0,951.9,5.6,0.0,0.0,0.0,9.6,16,4,7,26.9124,75.7873,0.7
32.7,58,0.7,951.0,4.9,0.7,0.7,0.7,10.1,17,4,7,26.9124,75.7873,0.0
31.2,69,0.0,951.4,5.5,0.7,0.7,0.7,10.1,18,4,7,26.9124,75.7873,0.1
28.9,82,0.1,952.1,4.7,0.8,0.8,0.8,10.2,19,4,7,26.9124,75.7873,0.1
28.3,86,0.1,952.4,3.2,0.2,0.9,0.9,10.3,20,4,7,26.9124,75.7873,0.1
28.4,84,0.1,953.0,5.5,0.3,1.0,1.0,10.4,21,4,7,26.9124,75.7873,0.0
28.4,84,0.0,953.1,3.9,0.2,1.0,1.0,10.4,22,4,7,26.9124,75.7873,0.6
28.7,85,0.6,953.3,3.5,0.7,0.9,1.6,6.2,23,4,7,26.9124,75.7873,0.0
28.3,87,0.0,953.1,3.8,0.6,0.9,1.6,3.7,0,5,7,26.9124,75.7873,0.0
28.0,87,0.0,952.8,4.4,0.6,0.8,1.6,2.1,1,5,7,26.9124,75.7873,0.0
27.5,88,0.0,952.5,5.0,0.0,0.7,1.6,1.6,2,5,7,26.9124,75.7873,0.0
27.3,87,0.0,952.5,6.0,0.0,0.6,1.6,1.6,3,5,7,26.9124,75.7873,0.0
27.0,86,0.0,952.5,7.1,0.0,0.6,1.6,1.6,4,5,7,26.9124,75.7873,0.0
27.2,89,0.0,952.4,3.7,0.0,0.0,0.9,1.6,5,5,7,26.9124,75.7873,0.0
27.5,87,0.0,953.2,3.7,0.0,0.0,0.9,1.6,6,5,7,26.9124,75.7873,0.0
28.2,80,0.0,953.6,3.0,0.0,0.0,0.8,1.6,7,5,7,26.9124,75.7873,0.2
28.4,79,0.2,954.0,7.3,0.2,0.2,0.9,1.8,8,5,7,26.9124,75.7873,0.0
28.5,79,0.0,953.4,7.3,0.2,0.2,0.8,1.8,9,5,7,26.9124,75.7873,0.1
30.1,71,0.1,953.2,3.1,0.3,0.3,0.9,1.9,10,5,7,26.9124,75.7873,0.0
31.1,66,0.0,953.2,3.2,0.1,0.3,0.3,1.9,11,5,7,26.9124,75.7873,0.0
32.1,63,0.0,953.0,3.3,0.1,0.3,0.3,1.9,12,5,7,26.9124,75.7873,0.0
32.6,61,0.0,952.3,2.7,0.0,0.3,0.3,1.9,13,5,7,26.9124,75.7873,0.0
33.3,58,0.0,951.3,2.7,0.0,0.1,0.3,1.9,14,5,7,26.9124,75.7873,0.0
33.3,57,0.0,950.4,5.1,0.0,0.1,0.3,1.9,15,5,7,26.9124,75.7873,0.0
33.3,56,0.0,949.7,4.8,0.0,0.0,0.3,1.9,16,5,7,26.9124,75.7873,0.0
32.7,58,0.0,950.0,3.4,0.0,0.0,0.3,1.2,17,5,7,26.9124,75.7873,0.0
32.7,58,0.0,949.9,2.1,0.0,0.0,0.3,1.2,18,5,7,26.9124,75.7873,0.0
